time,f1,f2,f3,f4
2.6,44.11180693255738,44.211299021238645,44.16044300282622,44.03610691346378
2.6500000000000004,44.11411236980215,44.21177137143462,44.15835389561139,44.03541823323785
2.7,44.11643099989241,44.2121892460565,44.15625033172859,44.03478529240857
2.75,44.118761430211286,44.21255232749465,44.1541336822882,44.03420843009191
2.8000000000000003,44.121102260429815,44.21286033272098,44.1520053262413,44.033687950693974
2.85,44.12345208337636,44.213113013471144,44.14986664951228,44.03322412372626
2.9000000000000004,44.12580948591067,44.21331015640534,44.14771904412698,44.032817183643076
2.95,44.12817304980131,44.21345158324722,44.145563907337255,44.03246732970027
3.0,44.13054135260651,44.21353715090085,44.143402640742345,44.03217472583633
3.0500000000000003,44.13291296855794,44.21356675154546,44.141236649407155,44.031939500575504
3.1,44.135286469445965,44.21354031270846,44.139067340978976,44.03176174695261
3.1500000000000004,44.13766042550713,44.21345779731591,44.136896124802284,44.03164152246073
3.2,44.14003340631211,44.213319203721326,44.13472441103249,44.03157884902012
3.25,44.14240398165453,44.21312456571172,44.13255360974946,44.031573712970356
3.3000000000000003,44.14477072243961,44.21287395249202,44.130385130070756,44.03162606508367
3.35,44.14713220157166,44.21256746864691,44.12822037926609,44.03173582060137
3.4000000000000004,44.149486994841276,44.212205254080786,44.126060761872246,44.03190285929176
3.45,44.1518336818098,44.21178748393538,44.12390767881042,44.03212702553046
3.5,44.1541708466923,44.21131436848549,44.121762526505286,44.03240812840296
3.5500000000000003,44.15649707923695,44.210786153012535,44.11962669600762,44.032745941828935
3.6,44.15881097560173,44.21020311765659,44.1175015721194,44.03314020470832
3.6500000000000004,44.16111113922653,44.209565577245925,44.11538853252366,44.03359062108997
3.7,44.16339618170098,44.20887388110542,44.11328894691842,44.0340968603612
3.75,44.165664723627465,44.208128412843294,44.11120417615587,44.03465855745942
3.8000000000000003,44.16791539547808,44.207329590115776,44.109135571386936,44.03527531310526
3.85,44.170146838445966,44.20647786437141,44.10708447321189,44.035946694056804
3.9000000000000004,44.17235770528949,44.205573720573426,44.10505221083802,44.036672233385104
3.95,44.174546661169735,44.20461767690142,44.103040101244,44.0374514307709
4.0,44.17671238447986,44.20361028443223,44.10104944835215,44.0382837528218
4.05,44.17885356766647,44.2025521268001,44.099081542209,44.03916863341047
4.1000000000000005,44.18096891804229,44.2014438198367,44.09713765817421,44.04010547403283
4.15,44.18305715858934,44.200286011190556,44.095219056119355,44.0410936441868
4.2,44.185117028752735,44.19907937992697,44.09332697963551,44.04213248177082
4.25,44.18714728522378,44.19782463610808,44.09146265525222,44.04322129350196
4.3,44.1891467027129,44.19652252035333,44.089627291665984,44.04435935535385
4.3500000000000005,44.19111407471075,44.19517380338115,44.08782207898083,44.045545913013314
4.4,44.193048214238054,44.19377928553148,44.08604818796032,44.046780182356216
4.45,44.19494795458335,44.192339796269934,44.084306769291125,44.048061349941634
4.5,44.196812150027675,44.19085619367348,44.0825989528602,44.04938857352465
4.55,44.1986396765565,44.18932936389848,44.080925847044334,44.05076098258671
4.6000000000000005,44.20042943255833,44.18776022063081,44.07928853801308,44.05217767888384
4.65,44.202180339508764,44.186149704519025,44.07768808904623,44.05363773701205
4.7,44.203891342640794,44.18449878259041,44.07612553986511,44.055140204989726
4.75,44.205561411599966,44.18280844765073,44.074601905978916,44.05668410485646
4.800000000000001,44.207189541084425,44.181079717667274,44.07311817804615,44.058268433288205
4.8500000000000005,44.208774751469385,44.17931363513699,44.071675321251554,44.05989216222811
4.9,44.210316089415535,44.1775112664384,44.07027427469918,44.06155423953297
4.95,44.211812628461,44.175673701168975,44.06891595082184,44.063253589634215
5.0,44.213263469597,44.173802051467874,44.067601234807036,44.06498911421416
5.050000000000001,44.21466774182564,44.171897451324625,44.066330984040114,44.066759692895644
5.1000000000000005,44.21602460270102,44.16996105587377,44.065106027565015,44.06856418394621
5.15,44.21733323885214,44.16799404067666,44.06392716556247,44.070401424994785
5.2,44.21859286648759,44.16599760099004,44.062795168846456,44.07227023376197
5.25,44.21980273188223,44.163972951022686,44.06171077837923,44.07416940880191
5.300000000000001,44.220962111844706,44.16192132317971,44.060674704804704,44.07609773025692
5.3500000000000005,44.222070314166295,44.15984396729583,44.05968762800108,44.07805396062285
5.4,44.2231266780501,44.157742149857214,44.0587501966528,44.08003684552594
5.45,44.22413057452106,44.15561715321354,44.05786302784177,44.08204511450968
5.5,44.22508140681564,44.15347027477931,44.05702670665885,44.08407748183225
5.550000000000001,44.225978610752,44.15130282622634,44.05624178583488,44.08613264727282
5.6000000000000005,44.2268216550794,44.149116132666904,44.055508785392384,44.088209296947355
5.65,44.2276100418074,44.146911531828465,44.054828192317494,44.090306104132665
5.7,44.22834330651404,44.144690373220726,44.05420046025292,44.092421730098366
5.75,44.2290210186334,44.14245401729485,44.05362600921135,44.09455482494646
5.800000000000001,44.22964278172183,44.14020383459611,44.05310522531047,44.09670402845768
5.8500000000000005,44.2302082337031,44.137941204909936,44.052638460528605,44.0988679709444
5.9,44.23071704709202,44.135667516402506,44.052226032482416,44.10104527410914
5.95,44.23116892919628,44.1333841647554,44.051868224225665,44.10323455190871
6.0,44.23156362229728,44.13109255229628,44.05156528406966,44.10543441142282
6.050000000000001,44.23190090380832,44.128794087124604,44.05131742542593,44.107643453727206
6.1000000000000005,44.23218058641151,44.12649018223419,44.05112482667011,44.109860274770256
6.15,44.23240251817244,44.12418225463246,44.050987631028285,44.11208346625287
6.2,44.23256658263295,44.12187172445718,44.05090594648512,44.114311616510804
6.25,44.23267269888142,44.11956001409105,44.05087984571431,44.11654331139927
6.300000000000001,44.23272082160155,44.117248547275025,44.050909366030645,44.11877713517882
6.3500000000000005,44.23271094109817,44.11493874822057,44.05099450936509,44.12101167140223
6.4,44.2326430833016,44.112632040721564,44.05113524226103,44.123245503801854
6.45,44.23251730974939,44.110329847266584,44.05133149589354,44.125477217176496
6.5,44.23233371754568,44.1080335881517,44.0515831661105,44.12770539827814
6.550000000000001,44.232092439299144,44.10574468059471,44.05189011349554,44.12992863669666
6.6000000000000005,44.231793643037896,44.10346453785118,44.05225216345361,44.13214552574337
6.65,44.23143753210294,44.101194568333085,44.052669106318426,44.13435466333162
6.7,44.23102434501943,44.09893617472997,44.05314069748169,44.136554652854926
6.75,44.23055435534608,44.0966907531343,44.05366665754433,44.138744104061345
6.800000000000001,44.23002787150234,44.09445969217002,44.05424667248989,44.14092163392378
6.8500000000000005,44.22944523657467,44.09224437212663,44.05488039387888,44.143085867505846
6.9,44.22880682810021,44.09004616409766,44.05556743906552,44.14523543882265
6.95,44.22811305782991,44.08786642912513,44.05630739143522,44.14736899169577
7.0,44.227364371469626,44.08570651735043,44.05709980066403,44.14948518060197
7.050000000000001,44.22656124840062,44.083567767171516,44.05794418299836,44.151582671515555
7.1000000000000005,44.225704201378456,44.08145150440781,44.05884002155677,44.15366014274305
7.15,44.224793776211804,44.07935904147239,44.05978676665149,44.15571628575037
7.2,44.22383055142024,44.07729167655313,44.06078383613093,44.15774980598172
7.25,44.22281513787153,44.0752506928021,44.06183061574297,44.159759423669456
7.300000000000001,44.22174817839926,44.07323735753465,44.06292645951739,44.161743874634794
