time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,P_elec,Vt
0.89,0.0,0.0,-2.898855396663593,0.0,0.0,-5.186286624501657,0.0,0.0,0.0,0.0,0.0,0.0,20.31907754357714,48.0
0.9,0.0,0.0,-2.9507954850775073,0.0,0.0,-5.201727783386105,0.0,0.0,0.0,0.0,0.0,0.0,20.3245171805586,48.0
0.91,0.0,0.0,-3.0028854442235726,0.0,0.0,-5.2162609546117595,0.0,0.0,0.0,0.0,0.0,0.0,20.329987382631632,48.0
0.92,0.0,0.0,-3.055116199749581,0.0,0.0,-5.229887244434987,0.0,0.0,0.0,0.0,0.0,0.0,20.335487979956493,48.0
0.93,0.0,0.0,-3.1074786884062453,0.0,0.0,-5.242607767078466,0.0,0.0,0.0,0.0,0.0,0.0,20.341018805493626,48.0
0.9400000000000001,0.0,0.0,-3.1599638581237173,0.0,0.0,-5.254423644102774,0.0,0.0,0.0,0.0,0.0,0.0,20.346579694927524,48.0
0.9500000000000001,0.0,0.0,-3.212562668081837,0.0,0.0,-5.265336003781138,0.0,0.0,0.0,0.0,0.0,0.0,20.352170486593515,48.0
0.96,0.0,0.0,-3.265266088774147,0.0,0.0,-5.27534598047738,0.0,0.0,0.0,0.0,0.0,0.0,20.35779102140722,48.0
0.97,0.0,0.0,-3.318065102065701,0.0,0.0,-5.28445471402708,0.0,0.0,0.0,0.0,0.0,0.0,20.363441142796653,48.0
0.98,0.0,0.0,-3.370950701244701,0.0,0.0,-5.292663349121979,0.0,0.0,0.0,0.0,0.0,0.0,20.369120696636767,48.0
0.99,0.0,0.0,-3.423913891067995,0.0,0.0,-5.299973034697639,0.0,0.0,0.0,0.0,0.0,0.0,20.374829531186375,48.0
1.0,0.0,0.0,-3.476945687800466,0.0,0.0,-5.3063849233243765,0.0,0.0,0.0,0.0,0.0,0.0,20.380567497027332,48.0
1.01,0.0,0.0,-3.5300371192483486,0.0,0.0,-5.311900170601488,0.0,0.0,0.0,0.0,0.0,0.0,20.386334447005847,48.0
1.02,0.0,0.0,-3.5831792247865035,0.0,0.0,-5.316519934554769,0.0,0.0,0.0,0.0,0.0,0.0,20.392130236175877,48.0
