time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
4.65,19.099562874460823,-9.649266203921181,-6.14239772748846,10.87278939067803,-7.7425601999226,-7.49128096350688,1.500710414105941,0.7588630413519488,0.6941889791620065,0.5645760588055321,0.2254519996477702,0.11282518457906499
4.7,19.644322727445182,-10.040347587085385,-6.523750331686227,10.916026211303167,-7.900150405534941,-7.763412022978793,1.5398531639497188,0.7537362826925522,0.7098759890265943,0.5705049936122304,0.22004652337649155,0.1150684009638299
4.75,20.191006827610547,-10.439224754521998,-6.918796102233014,10.9497430633542,-8.05435020718752,-8.038972836348467,1.578723803120664,0.7480527625991615,0.7248257691227449,0.5762856926569679,0.21450592890790895,0.11732788791225743
4.800000000000001,20.739136886663406,-10.845722021013405,-7.327701252672714,10.973851170260165,-8.204913769133364,-8.317751286074023,1.6172870511079342,0.7418447656722699,0.738997519775181,0.5819145431910088,0.20883367893321303,0.1196034194775406
4.8500000000000005,21.288230598920414,-11.259651527697192,-7.750621220914758,10.988278586358682,-8.351600047519367,-8.599528520464991,1.6555129008816802,0.7351463483353581,0.7523559409042093,0.5873880273659995,0.2030333184239972,0.12189476810842043
4.9,21.837802478555293,-11.680813491413115,-8.187700341006265,10.992970019331445,-8.49417317717045,-8.884079293982177,1.6933765415668438,0.727993063941311,0.7648711936771009,0.5927027244324987,0.19710847241676707,0.12420170467193972
4.95,22.38736468715562,-12.108996472899888,-8.639071532084047,10.987886620802266,-8.632402838947195,-9.171172314136706,1.7308581896176005,0.7204216960735457,0.7765187731221406,0.5978553128778419,0.19106284374741822,0.12652399847636456
5.0,22.936427850091945,-12.543977662893294,-9.104856004838055,10.973005748833213,-8.76606460859434,-9.460570595067486,1.7679428433250313,0.7124700042074373,0.7872793065251613,0.6028425725019707,0.1849002107370738,0.12886141729425388
5.050000000000001,23.4845018603824,-12.985523185223554,-9.585162985823807,10.948320705803571,-8.894940288018175,-9.752031817953378,1.8046199760836663,0.7041764849005627,0.7971382929939914,0.6076613864299661,0.17862442483076313,0.13121372738566986
5.1000000000000005,24.031096668903313,-13.43338841605674,-10.08008945997065,10.913840454878583,-9.018818219922135,-10.045308698470615,1.8408831836234938,0.695580150711125,0.806085799325753,0.6123087430599796,0.17223940819039388,0.13358069352156185
5.15,24.575723059949276,-13.887318318470685,-10.589719931644058,10.869589317977837,-9.137493586694816,-10.340149361537023,1.8767297995506063,0.6867203281473577,0.8141161264129846,0.616781737945399,0.1657491512435231,0.13596207900729324
5.2,25.117893411284054,-14.347047791599215,-11.114126204632601,10.815606657844741,-9.250768694386704,-10.63629772359327,1.9121604922097735,0.6776364751578654,0.8212274590549624,0.6210775756100193,0.15915771018947553,0.13835764570629536
5.25,25.657122437945837,-14.812302033618437,-11.653367181442418,10.751946546505646,-9.35845324253456,-10.933493882658121,1.9471788542565625,0.668368018002078,0.827421510371069,0.6251935712951384,0.1524692044643487,0.14076715406389917
5.300000000000001,26.19292791917705,-15.282796917884559,-12.207488682293208,10.678677422096413,-9.460364580499352,-11.231474516361164,1.9817909945564764,0.6589542067984937,0.8327031701950703,0.6291271526374332,0.14568781416650264,0.1431903631312758
5.3500000000000005,26.7248314079402,-15.758239381563365,-12.776523284218612,10.595881735731309,-9.556327950878392,-11.52997328810407,2.0160051402388235,0.6494339886344515,0.8370801649878353,0.6328758612766116,0.13881777744412846,0.14562703058953655
5.4,27.252358922557704,-16.23832782611672,-13.36049018067978,10.503655589799113,-9.6461767204387,-11.828721261432221,2.0498312550192996,0.6398458968265615,0.8405627350374587,0.6364373543917953,0.1318633878465505,0.14807691277396712
5.45,27.775041620075854,-16.722752529030874,-13.959395062102956,10.402108368798466,-9.729752598899656,-12.127447322614387,2.083280678334743,0.6302279547330663,0.8431633330876724,0.6398094061657223,0.1248289916408882,0.15053976469838978
5.5,28.292416451002484,-17.211196066184712,-14.573230017749465,10.291362363572299,-9.806905845772334,-12.42587861133153,2.1163657884476734,0.6206175924233998,0.8448963470901414,0.642989909175796,0.11771898509579369,0.15301534007966372
5.550000000000001,28.804026795104892,-17.703333744263443,-15.201973459318808,10.171552389572405,-9.877495465343094,-12.723740959268984,2.1490996914971805,0.6110515744903536,0.8457778485348024,0.6459768757111661,0.11053781173391573,0.15550339136231472
5.6000000000000005,29.30942307798103,-18.19883404262474,-15.845590066672578,10.04282539958182,-9.941389389773146,-13.020759336291583,2.1814959374996943,0.6015659373312271,0.8458253667792943,0.648768439014979,0.10328995955485008,0.1580036697432882
5.65,29.8081633681338,-18.69735906402008,-16.504030756047797,9.905340091146094,-9.998464650175963,-13.316658303761388,2.213568263529258,0.5921959343119476,0.8450576889661643,0.6513628544510369,0.09597995823027722,0.16051592519683075
5.7,30.29981395428702,-19.19856499356461,-17.177232671103244,9.759266508815314,-10.048607535432854,-13.611162474434568,2.24533036371485,0.5829759873498611,0.8434946844693605,0.6537585005941453,0.08861237627307644,0.16303990649949027
5.75,30.78394990268354,-19.702102565334506,-17.865119197111056,9.604785641177207,-10.091713738415505,-13.90399697825034,2.276795685260155,0.5739396435959498,0.8411571523293213,0.655953880243447,0.08119181818214385,0.16557536125523675
5.800000000000001,31.260155594102535,-20.207617535952224,-18.567599998568486,9.442089012567193,-10.127688489204141,-14.19488793320253,2.307977249394749,0.5651195360567438,0.8380666897965545,0.6579476213581253,0.07372292156474039,0.16812203592070948
5.8500000000000005,31.72802524032555,-20.714751164497653,-19.284571080461212,9.271378269273189,-10.156446674822421,-14.483562920365598,2.338887495980585,0.5565473471629548,0.8342455798846865,0.6597384779148795,0.06621035423812713,0.17067967583056365
5.9,32.18716337977046,-21.223140698057946,-20.015914873360334,9.092864760010041,-10.177912944955954,-14.76975146203355,2.369538150400826,0.5482537744602195,0.8297166957145059,0.6613253306866591,0.05865881131233636,0.17324802522294092
5.95,32.63718535200079,-21.73241986220096,-20.761500342480453,8.906769110418999,-10.192021803081001,-15.053185501823855,2.399940111328193,0.5402684977629131,0.8245034193915024,0.6627071879421325,0.05107301225588761,0.17582682726504273
6.0,33.07771775080556,-22.242219355627896,-21.521183120766295,8.71332079135004,-10.198717682403698,-15.333599885500787,2.430103357988548,0.5326201472715031,0.8186295731841968,0.6638831860654997,0.04345769794625773,0.1784158240788116
6.050000000000001,33.508398855533116,-22.752167348230444,-22.29480566601088,8.512757680706883,-10.197955005998022,-15.610732841184843,2.4600368755863613,0.5253362723048651,0.8121193608450721,0.6648525900962139,0.03581762770700296,0.18101475676672465
6.1000000000000005,33.928879040352385,-23.261889981747032,-23.08219744193958,8.305325618674228,-10.18969823053244,-15.884326457538098,2.489748597628785,0.5184433104395713,0.8049973170284499,0.6656147941883114,0.028157576333328677,0.18362336543767868
6.15,34.33882116110731,-23.771011872182672,-23.883175123122225,8.091277956201653,-10.17392187299036,-16.154127158450628,2.5192453639635715,0.5119665569770304,0.7972882629006989,0.6661693219890427,0.02048233110799928,0.18624138923297864
6.2,34.737900919425535,-24.27915661312777,-24.69754282350032,7.870875096686659,-10.150610519817423,-16.41988617270095,2.548532893424659,0.5059301347754952,0.7890172662000438,0.6665158269365848,0.012796688809437571,0.18886856635242802
6.25,35.12580720374141,-24.785947279083892,-25.52509234823908,7.644384030878003,-10.11975881796858,-16.681359997024476,2.577615770051722,0.5003569645866017,0.7802096041798664,0.6666540924766252,0.005105452713906441,0.19150463408050672
6.300000000000001,35.5022424068968,-25.29100692787931,-26.365603468534932,7.412077865107564,-10.081371447379004,-16.93831085099858,2.6064974419119964,0.4952687361246833,0.7708907280558326,0.6665840321977017,-0.0025865704064011175,0.1941493288126376
6.3500000000000005,35.86692271999064,-25.793959101234908,-27.2188442189293,7.174235343052378,-10.035463074443925,-17.190507122140968,2.635180231601567,0.49068588017116604,0.7610862277694419,0.6663056898852091,-0.01027457328741589,0.19680238608155223
6.4,36.219578402160884,-26.29442832252196,-28.08457121659923,6.931140361325809,-9.982058286162546,-17.437723799619977,2.6636653575378,0.4866275420756012,0.7508217960753211,0.6658192394940294,-0.01795375117759342,0.19946354058373097
6.45,36.55995402599983,-26.792040590737933,-28.962530002015736,6.68308147929639,-9.921191504679147,-17.67974289499054,2.691952965174631,0.4831115570591359,0.7401231911538293,0.6651249850398254,-0.025619304840724992,0.20213252620594505
6.5,36.88780869832625,-27.286423869715307,-29.85245540028202,6.4303514236324455,-9.852906882038882,-17.91635384839797,2.7200421672789314,0.48015442775544304,0.7290161971416315,0.6642233604090305,-0.033266443555290195,0.20480907605185275
6.550000000000001,37.20291625606512,-27.77720857157142,-30.75407190238688,6.17324658816878,-9.777258175065725,-18.147353918732644,2.7479310924009446,0.47777130443846766,0.7175265821582965,0.6631149290876912,-0.0408903881085195,0.20749292246870335
6.6000000000000005,37.50506543701794,-28.26402803340508,-31.66709406553396,5.912066529786604,-9.694308600363991,-18.37254855627159,2.775616940657116,0.47597596838613965,0.7056800535842277,0.6618003838092997,-0.04848637378323906,0.2101837970740898
6.65,37.794060025343484,-28.746518986248187,-32.591226931635966,5.647113461088298,-9.604130669541837,-18.591751756407415,2.803096045922422,0.4747808188150245,0.6935022105119335,0.660280546121867,-0.056049653335660525,0.21288143078279298
6.7,38.069718971610065,-29.224322015287992,-33.526166462994716,5.378691740733132,-9.506806004853894,-18.804786393139782,2.8303639435045187,0.47419686379354065,0.681018493446463,0.6585563658744737,-0.06357549996225711,0.215585553833694
6.75,38.33187648732561,-29.697082010387913,-34.47159999412379,5.107107362377702,-9.402425135559456,-19.011484531089224,2.8574154423469365,0.4742337155019333,0.66825413146955,0.6566289206236509,-0.07105921025386938,0.2182958958167368
6.800000000000001,38.58038211390087,-30.16444860595221,-35.427206698610824,4.832667443234649,-9.291087275391499,-19.211687714886395,2.884244700786135,0.4748995901569655,0.6552340872035963,0.6544994149599369,-0.07849610713516503,0.2210121856999826
6.8500000000000005,38.815100766053284,-30.62607660920193,-36.392658069861646,4.555679713324397,-9.172900081629095,-19.40524723489095,2.9108453048704894,0.47620131285982925,0.6419830000143041,0.6521691797550564,-0.08588154278767893,0.22373415185670908
6.9,39.03591274971421,-31.081626415956613,-37.3676184145188,4.276452006546708,-9.047979396360558,-19.592024368302045,2.93721034824061,0.4781443275588329,0.6285251279731189,0.649639671330161,-0.0932109015545309,0.22646152209256581
6.95,39.242713754559404,-31.530764413047887,-38.351745357302995,3.995291754741176,-8.916448970616027,-19.771890594835995,2.9633325125719665,0.48073271224591907,0.6148842891616491,0.6469124705456734,-0.10047960282507518,0.2291940236728007
7.0,39.435414821342356,-31.973163366527224,-39.3446903559876,3.7125054859383013,-8.778440172135374,-19.944727786264924,2.989204147593997,0.4839691994300322,0.6010838029393607,0.6439892818133114,-0.1076831038976196,0.23193138334953686
7.050000000000001,39.61394228427034,-32.40850279487048,-40.34609922518423,3.428398328025115,-8.634091677619496,-20.110428369231947,3.014817349725677,0.48785520185287656,0.5871464318131006,0.6408719320308764,-0.11481690281848418,0.23467332738908753
7.1000000000000005,39.77823768872486,-32.83646932642622,-41.3556126675911,3.1432735190616357,-8.483549150389646,-20.268895460882923,3.0401640384061066,0.49239084333574956,0.5730943245428975,0.6375623694405115,-0.12187654119555542,0.23741958159933005
7.15,39.92825768469005,-33.25675704040279,-42.37286681133621,2.8574319254866762,-8.326964904449898,-20.42004297698065,3.0652360292496392,0.49757499457189297,0.5589489610940925,0.634062662411104,-0.12885760698464557,0.24016987135713763
7.2,40.06397389631424,-33.669067790740584,-43.397493752033654,2.571171569443981,-8.16449755601158,-20.5637957122939,3.090025103217432,0.5034053136090197,0.5447311000026805,0.630374998145627,-0.13575573724688536,0.24292392163582202
7.25,40.18537276809115,-34.07311151227017,-44.42912209816439,2.2847871664425914,-7.996311663595268,-20.700089393179717,3.1145230710694256,0.5098782907029834,0.5304607286607784,0.6265016813142068,-0.1425666208754009,0.2456814570326521
7.300000000000001,40.29245538820732,-34.46860650861417,-45.46737751839152,1.9985696745391637,-7.822577357875321,-20.828870702402092,3.13872183244069,0.5169892971673483,0.516157016954633,0.6224451326137839,-0.1492860012896335,0.24844220179638576
7.3500000000000005,40.385237289660786,-34.85527972135003,-46.51188328942566,1.712805856195085,-7.643469962473769,-20.950097276352597,3.162613428971345,0.5247326377959901,0.5018382746010768,0.618207887255247,-0.15590967909554512,0.25120587985484694
7.4,40.46374822981266,-35.232866980011956,-47.56226084306708,1.427777853918258,-7.4591696069444575,-21.063737674958038,3.1861900910072274,0.5331016063975844,0.48752191243241977,0.6137925933790163,-0.1624335147101176,0.2539722148425325
7.45,40.52803194908765,-35.601113232573226,-48.61813031106854,1.1437627807488806,-7.269860833214753,-21.16977132467585,3.209444277476323,0.5420885439523835,0.47322440777704633,0.6092020104000433,-0.16885343094845315,0.25674093012825083
7.5,40.57814590959093,-35.95977275611378,-49.67911106648551,0.8610323265910893,-7.0757321967706295,-21.26818843508909,3.2323687086308026,0.5516848988831734,0.45896127397590303,0.6044390072832565,-0.17516541557187698,0.25951174884277844
7.550000000000001,40.61416101445743,-36.308609347442626,-50.74482226020883,0.5798523813286298,-6.87697586388188,-21.358989889719012,3.2549563914234554,0.5618812889235759,0.4447470339658249,0.5995065607505613,-0.18136552379546592,0.2622843939065515
7.6000000000000005,40.636161308794755,-36.64739649350965,-51.81488335140816,0.30048267559346054,-6.6737872061674945,-21.442187111773517,3.2772006373577027,0.5726675640674594,0.43059519775107724,0.5944077534204862,-0.18744988075340427,0.265058588057377
7.65,40.64424366312255,-36.97591752150617,-52.88891463065309,0.02317643998208513,-6.466364393797213,-21.517801905644035,3.2990950727095187,0.5840328700924726,0.41651824347596783,0.5891457718816372,-0.19341468392064354,0.2678340538781493
