x_km,y_km,detection_probability,threat_level
19.2,0.48,0.11144251903444094,low
19.44,0.48,0.10629008855191414,low
19.68,0.48,0.10123382034934404,low
19.92,0.48,0.09628544737284381,low
20.16,0.48,0.09145560549313957,low
20.4,0.48,0.08675376620999306,low
20.64,0.48,0.08218819179613285,low
20.88,0.48,0.07776591244762177,low
21.12,0.48,0.07349272438460215,low
21.36,0.48,0.06937320731993425,low
21.6,0.48,0.06541075929770049,low
21.84,0.48,0.06160764660536887,low
22.08,0.48,0.057965066281743485,low
22.32,0.48,0.0,low
22.56,0.48,0.0,low
22.8,0.48,0.0,low
23.04,0.48,0.0,low
23.28,0.48,0.0,low
23.52,0.48,0.0,low
23.76,0.48,0.0,low
24.0,0.48,0.0,low
24.24,0.48,0.0,low
24.48,0.48,0.0,low
24.72,0.48,0.0,low
24.96,0.48,0.0,low
25.2,0.48,0.0,low
25.44,0.48,0.0,low
25.68,0.48,0.0,low
25.92,0.48,0.0,low
26.16,0.48,0.0,low
26.4,0.48,0.0,low
26.64,0.48,0.0,low
26.88,0.48,0.0,low
27.12,0.48,0.0,low
27.36,0.48,0.0,low
27.6,0.48,0.0,low
27.84,0.48,0.0,low
28.08,0.48,0.0,low
28.32,0.48,0.0,low
28.56,0.48,0.0,low
28.8,0.48,0.0,low
29.04,0.48,0.0,low
29.28,0.48,0.0,low
29.52,0.48,0.0,low
29.76,0.48,0.0,low
30.0,0.48,0.0,low
30.24,0.48,0.0,low
30.48,0.48,0.0,low
0.0,0.72,0.5732265682055587,medium
0.24,0.72,0.5845157983312782,medium
0.48,0.72,0.5951874318869942,medium
0.72,0.72,0.605220482943565,high
0.96,0.72,0.6145969846750153,high
1.2,0.72,0.6233018061387752,high
1.44,0.72,0.6313224494154096,high
1.68,0.72,0.6386488349963761,high
1.92,0.72,0.6452730828559758,high
2.16,0.72,0.6511892960571503,high
2.4,0.72,0.6563933530612639,high
2.64,0.72,0.6608827141753064,high
2.88,0.72,0.6646562468051904,high
3.12,0.72,0.6677140734127307,high
3.36,0.72,0.670057445310684,high
3.6,0.72,0.671688644682202,high
3.84,0.72,0.672610916479504,high
4.08,0.72,0.6728284311383047,high
4.32,0.72,0.6723462783332548,high
4.56,0.72,0.6711704912874735,high
4.8,0.72,0.6693081004277706,high
5.04,0.72,0.6667672144380494,high
5.28,0.72,0.6635571259984847,high
5.52,0.72,0.6596884386991618,high
5.76,0.72,0.6551732107756494,high
6.0,0.72,0.6500251104234054,high
6.24,0.72,0.6442595765059455,high
6.48,0.72,0.6378939774888672,high
6.72,0.72,0.6309477604428447,high
6.96,0.72,0.6234425810363917,high
7.2,0.72,0.6154024047057596,high
7.44,0.72,0.6068535688175637,high
7.68,0.72,0.5978247958350099,medium
7.92,0.72,0.5883471484580242,medium
8.16,0.72,0.5784539195607366,medium
8.4,0.72,0.5681804524989938,medium
8.64,0.72,0.55756389084552,medium
8.88,0.72,0.5466428605180471,medium
9.12,0.72,0.5354570911896812,medium
9.36,0.72,0.5240469874006756,medium
9.6,0.72,0.5124531625991369,medium
9.84,0.72,0.5007159512333603,medium
10.08,0.72,0.48887491495102164,medium
10.32,0.72,0.47696835899156487,medium
10.56,0.72,0.46503287411192873,medium
10.8,0.72,0.4531029180067362,medium
11.04,0.72,0.4412104483113697,medium
11.28,0.72,0.42938461703589526,medium
11.52,0.72,0.41765153378516107,medium
11.76,0.72,0.40603410248707134,medium
12.0,0.72,0.394551933687906,medium
12.24,0.72,0.383221331889824,medium
12.48,0.72,0.3720553550037819,medium
12.72,0.72,0.23951139822905926,low
12.96,0.72,0.23656570867561905,low
13.2,0.72,0.23345159429896506,low
13.44,0.72,0.2301679853066781,low
13.68,0.72,0.22671442188648167,low
13.92,0.72,0.2230911514317668,low
14.16,0.72,0.2192992229646599,low
14.4,0.72,0.21534057660933412,low
14.64,0.72,0.211218125789055,low
14.88,0.72,0.20693582968842072,low
15.12,0.72,0.20249875345715343,low
15.36,0.72,0.19791311365211225,low
15.6,0.72,0.19318630653574323,low
15.84,0.72,0.1883269170836032,low
16.08,0.72,0.1833447069068694,low
16.32,0.72,0.17825057976686542,low
16.56,0.72,0.17305652393862847,low
16.8,0.72,0.16777553135204026,low
17.04,0.72,0.16242149417647128,low
17.28,0.72,0.15700908028546615,low
17.52,0.72,0.15155358980352324,low
17.76,0.72,0.1460707956562588,low
18.0,0.72,0.14057677167700228,low
18.24,0.72,0.13508771232911745,low
18.48,0.72,0.1296197484524585,low
18.72,0.72,0.12418876361181792,low
18.96,0.72,0.11881021560359906,low
19.2,0.72,0.11349896746503352,low
19.44,0.72,0.10826913194095608,low
19.68,0.72,0.1031339328203789,low
19.92,0.72,0.0981055858916932,low
20.16,0.72,0.09319520152024201,low
20.4,0.72,0.08841271006711961,low
20.64,0.72,0.08376681058494646,low
20.88,0.72,0.07926494248330197,low
21.12,0.72,0.07491327918604394,low
21.36,0.72,0.0707167422300389,low
21.6,0.72,0.06667903379666751,low
21.84,0.72,0.062802685332221,low
22.08,0.72,0.059089119701408066,low
22.32,0.72,0.055538724223307995,low
22.56,0.72,0.0,low
22.8,0.72,0.0,low
23.04,0.72,0.0,low
23.28,0.72,0.0,low
23.52,0.72,0.0,low
23.76,0.72,0.0,low
24.0,0.72,0.0,low
24.24,0.72,0.0,low
24.48,0.72,0.0,low
24.72,0.72,0.0,low
24.96,0.72,0.0,low
25.2,0.72,0.0,low
25.44,0.72,0.0,low
25.68,0.72,0.0,low
25.92,0.72,0.0,low
26.16,0.72,0.0,low
26.4,0.72,0.0,low
26.64,0.72,0.0,low
26.88,0.72,0.0,low
27.12,0.72,0.0,low
27.36,0.72,0.0,low
27.6,0.72,0.0,low
27.84,0.72,0.0,low
28.08,0.72,0.0,low
28.32,0.72,0.0,low
28.56,0.72,0.0,low
28.8,0.72,0.0,low
29.04,0.72,0.0,low
29.28,0.72,0.0,low
29.52,0.72,0.0,low
29.76,0.72,0.0,low
30.0,0.72,0.0,low
30.24,0.72,0.0,low
30.48,0.72,0.0,low
0.0,0.96,0.5916888913916851,medium
0.24,0.96,0.6030933807589514,high
0.48,0.96,0.6138611565930523,high
0.72,0.96,0.6239728874987674,high
0.96,0.96,0.6334122627209939,high
1.2,0.96,0.6421657747528793,high
1.44,0.96,0.6502224855607318,high
1.68,0.96,0.6575737845109281,high
1.92,0.96,0.6642131454907911,high
2.16,0.96,0.6701358900164041,high
2.4,0.96,0.6753389623588175,high
2.64,0.96,0.6798207219323631,high
2.88,0.96,0.6835807574027672,high
3.12,0.96,0.6866197262076587,high
3.36,0.96,0.688939222448453,high
3.6,0.96,0.6905416754132185,high
3.84,0.96,0.6914302803213431,high
4.08,0.96,0.6916089622343362,high
4.32,0.96,0.6910823734419064,high
4.56,0.96,0.6898559239965169,high
4.8,0.96,0.6879358444210253,high
5.04,0.96,0.6853292789411489,high
5.28,0.96,0.6820444068853233,high
5.52,0.96,0.6780905891346789,high
5.76,0.96,0.673478535676851,high
6.0,0.96,0.6682204893956103,high
6.24,0.96,0.6623304201883395,high
6.48,0.96,0.6558242223268753,high
6.72,0.96,0.6487199066712905,high
6.96,0.96,0.6410377779693464,high
7.2,0.96,0.6328005861644475,high
7.44,0.96,0.6240336396253614,high
7.68,0.96,0.6147648678171245,high
7.92,0.96,0.6050248214944043,high
8.16,0.96,0.594846600281647,medium
8.4,0.96,0.5842657005872596,medium
8.64,0.96,0.5733197809969095,medium
8.88,0.96,0.5620483471600886,medium
9.12,0.96,0.550492363121823,medium
9.36,0.96,0.5386938004556023,medium
9.6,0.96,0.5266951399735132,medium
9.84,0.96,0.5145388430075638,medium
10.08,0.96,0.5022668102789745,medium
10.32,0.96,0.48991984635572794,medium
10.56,0.96,0.47753714685498794,medium
10.8,0.96,0.4651558240737055,medium
11.04,0.96,0.4528104847803721,medium
11.28,0.96,0.44053287158434995,medium
11.52,0.96,0.4283515767060903,medium
11.76,0.96,0.41629183419099675,medium
12.0,0.96,0.4043753937422915,medium
12.24,0.96,0.3926204765067922,medium
12.48,0.96,0.3810418104493547,medium
12.72,0.96,0.24202535456956248,low
12.96,0.96,0.2390988601226315,low
13.2,0.96,0.23600337805393207,low
13.44,0.96,0.23273749020721118,low
13.68,0.96,0.22930037414345603,low
13.92,0.96,0.22569190437216705,low
14.16,0.96,0.22191275121588988,low
14.4,0.96,0.21796447518203516,low
14.64,0.96,0.2138496145087321,low
14.88,0.96,0.2095717633876462,low
15.12,0.96,0.2051356382676535,low
15.36,0.96,0.2005471296292534,low
15.6,0.96,0.19581333670835666,low
15.84,0.96,0.19094258285337987,low
16.08,0.96,0.18594440952956792,low
16.32,0.96,0.18082954744027707,low
16.56,0.96,0.1756098638094902,low
16.8,0.96,0.17029828554715126,low
17.04,0.96,0.16490869877421463,low
17.28,0.96,0.15945582598478722,low
17.52,0.96,0.1539550829292541,low
17.76,0.96,0.14842241807172168,low
18.0,0.96,0.1428741381635774,low
18.24,0.96,0.13732672404104032,low
18.48,0.96,0.13179664116286488,low
18.72,0.96,0.12630014962846595,low
18.96,0.96,0.1208531184416673,low
19.2,0.96,0.1154708486088353,low
19.44,0.96,0.11016790929311303,low
19.68,0.96,0.10495799071167772,low
19.92,0.96,0.09985377679324714,low
20.16,0.96,0.09486683984852333,low
20.4,0.96,0.09000755869073718,low
20.64,0.96,0.08528506082118499,low
20.88,0.96,0.08070718850693051,low
21.12,0.96,0.07628048786038916,low
21.36,0.96,0.0720102194114206,low
21.6,0.96,0.06790038816118998,low
21.84,0.96,0.06395379073381742,low
22.08,0.96,0.06017207699854979,low
22.32,0.96,0.05655582341629524,low
22.56,0.96,0.0,low
22.8,0.96,0.0,low
23.04,0.96,0.0,low
23.28,0.96,0.0,low
23.52,0.96,0.0,low
23.76,0.96,0.0,low
24.0,0.96,0.0,low
24.24,0.96,0.0,low
24.48,0.96,0.0,low
24.72,0.96,0.0,low
24.96,0.96,0.0,low
25.2,0.96,0.0,low
25.44,0.96,0.0,low
25.68,0.96,0.0,low
25.92,0.96,0.0,low
26.16,0.96,0.0,low
26.4,0.96,0.0,low
26.64,0.96,0.0,low
26.88,0.96,0.0,low
27.12,0.96,0.0,low
27.36,0.96,0.0,low
27.6,0.96,0.0,low
27.84,0.96,0.0,low
28.08,0.96,0.0,low
28.32,0.96,0.0,low
28.56,0.96,0.0,low
28.8,0.96,0.0,low
29.04,0.96,0.0,low
29.28,0.96,0.0,low
29.52,0.96,0.0,low
29.76,0.96,0.0,low
30.0,0.96,0.0,low
30.24,0.96,0.0,low
30.48,0.96,0.0,low
0.0,1.2,0.6097031305518898,high
0.24,1.2,0.6211994873781868,high
0.48,1.2,0.6320415883112592,high
0.72,1.2,0.6422118829844082,high
0.96,1.2,0.6516958214512626,high
1.2,1.2,0.6604816040580619,high
1.44,1.2,0.6685599185853365,high
1.68,1.2,0.675923672805449,high
1.92,1.2,0.682567729870428,high
2.16,1.2,0.6884886531390723,high
2.4,1.2,0.6936844662180953,high
2.64,1.2,0.6981544331652687,high
2.88,1.2,0.7018988630093903,high
3.12,1.2,0.7049189419986945,high
3.36,1.2,0.7072165963024026,high
3.6,1.2,0.7087943872571836,high
3.84,1.2,0.7096554406621873,high
4.08,1.2,0.7098034110693543,high
4.32,1.2,0.709242481474184,high
4.56,1.2,0.7079773982706239,high
4.8,1.2,0.706013540778329,high
5.04,1.2,0.7033570240689146,high
5.28,1.2,0.7000148331972385,high
5.52,1.2,0.6959949862669883,high
5.76,1.2,0.6913067229998202,high
6.0,1.2,0.6859607145917621,high
6.24,1.2,0.6799692895712193,high
6.48,1.2,0.6733466690536152,high
6.72,1.2,0.6661092031691844,high
6.96,1.2,0.6582755985337392,high
7.2,1.2,0.6498671245659849,high
7.44,1.2,0.6409077845254043,high
7.68,1.2,0.6314244358230372,high
7.92,1.2,0.6214468440167538,high
8.16,1.2,0.6110076564536366,high
8.4,1.2,0.6001422849997862,high
8.64,1.2,0.5888886924952099,medium
8.88,1.2,0.5772870838241426,medium
9.12,1.2,0.5653795088530513,medium
9.36,1.2,0.5532093900294572,medium
9.6,1.2,0.5408209915172053,medium
9.84,1.2,0.528258849152253,medium
10.08,1.2,0.5155671813903063,medium
10.32,1.2,0.5027893011352376,medium
10.56,1.2,0.4899670472548194,medium
10.8,1.2,0.47714025298160867,medium
11.04,1.2,0.46434626641226223,medium
11.28,1.2,0.45161953601930144,medium
11.52,1.2,0.43899127150253203,medium
11.76,1.2,0.4264891874723856,medium
12.0,1.2,0.41413733444945167,medium
12.24,1.2,0.4019560185952913,medium
12.48,1.2,0.3899618085944352,medium
12.72,1.2,0.37816762532503123,medium
12.96,1.2,0.241470860996756,low
13.2,1.2,0.2383941081687993,low
13.44,1.2,0.23514624032233028,low
13.68,1.2,0.23172608300338018,low
13.92,1.2,0.22813314802434684,low
14.16,1.2,0.2243677364335487,low
14.4,1.2,0.2204310374306296,low
14.64,1.2,0.2163252209043592,low
14.88,1.2,0.21205352107271716,low
15.12,1.2,0.20762030857128363,low
15.36,1.2,0.2030311482866421,low
15.6,1.2,0.19829284028624486,low
15.84,1.2,0.19341344137071523,low
16.08,1.2,0.1884022650791305,low
16.32,1.2,0.1832698584156758,low
16.56,1.2,0.17802795413201541,low
16.8,1.2,0.17268939807939074,low
17.04,1.2,0.16726805191400648,low
17.28,1.2,0.16177867226608014,low
17.52,1.2,0.15623676832716654,low
17.76,1.2,0.15065844062730535,low
18.0,1.2,0.14506020451675866,low
18.24,1.2,0.1394588024919658,low
18.48,1.2,0.1338710099727482,low
18.72,1.2,0.12831343941747797,low
18.96,1.2,0.12280234773621881,low
19.2,1.2,0.11735345182339973,low
19.44,1.2,0.11198175668981049,low
19.68,1.2,0.10670140015015772,low
19.92,1.2,0.10152551734970076,low
20.16,1.2,0.09646612763253168,low
20.4,1.2,0.09153404541052067,low
20.64,1.2,0.08673881583259684,low
20.88,1.2,0.08208867522314263,low
21.12,1.2,0.07759053549469208,low
21.36,1.2,0.07324999107494339,low
21.6,1.2,0.0690713463433396,low
21.84,1.2,0.06505766116066278,low
22.08,1.2,0.06121081179957097,low
22.32,1.2,0.05753156444008794,low
22.56,1.2,0.0,low
22.8,1.2,0.0,low
23.04,1.2,0.0,low
23.28,1.2,0.0,low
23.52,1.2,0.0,low
23.76,1.2,0.0,low
24.0,1.2,0.0,low
24.24,1.2,0.0,low
24.48,1.2,0.0,low
24.72,1.2,0.0,low
24.96,1.2,0.0,low
25.2,1.2,0.0,low
25.44,1.2,0.0,low
25.68,1.2,0.0,low
25.92,1.2,0.0,low
26.16,1.2,0.0,low
26.4,1.2,0.0,low
26.64,1.2,0.0,low
26.88,1.2,0.0,low
27.12,1.2,0.0,low
27.36,1.2,0.0,low
27.6,1.2,0.0,low
27.84,1.2,0.0,low
28.08,1.2,0.0,low
28.32,1.2,0.0,low
28.56,1.2,0.0,low
28.8,1.2,0.0,low
29.04,1.2,0.0,low
29.28,1.2,0.0,low
29.52,1.2,0.0,low
29.76,1.2,0.0,low
30.0,1.2,0.0,low
30.24,1.2,0.0,low
30.48,1.2,0.0,low
0.0,1.44,0.6272045221822358,high
0.24,1.44,0.638769975957816,high
0.48,1.44,0.649665299910482,high
0.72,1.44,0.6598748241471553,high
0.96,1.44,0.6693858374904202,high
1.2,1.44,0.6781883066618428,high
1.44,1.44,0.6862745867260054,high
1.68,1.44,0.6936391308649817,high
1.92,1.44,0.7002782066864688,high
2.16,1.44,0.7061896253640474,high
2.4,1.44,0.7113724890107178,high
2.64,1.44,0.7158269608326362,high
2.88,1.44,0.7195540618234195,high
3.12,1.44,0.7225554970534508,high
